央视频道,#genre#
CCTV世界地理,http://39.134.216.5/live.hcs.cmvideo.cn:8088/ws_v/2018/sjdl/sjdl711/1000/index.m3u8?ProgramID=&encrypt=1$河南郑州市移动

中央新影-老故事,http://223.110.241.150:6610/gitv/live1/G_LAOGUSHI/G_LAOGUSHI/
中央新影-老故事,http://39.135.138.6:6610/PLTV/88888888/224/3221225517/2/index.m3u8?fmt=ts2hls
中央新影-老故事,http://39.134.24.202/PLTV/88888888/224/3221225881/index.m3u8
中央新影-老故事,http://183.207.248.71/gitv/live1/G_LAOGUSHI/G_LAOGUSHI
中央新影-新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2_hd.m3u8
中央新影-中学生,http://itv.ahau.edu.cn/hls/hls184a536.m3u8
中央新影-发现之旅,http://39.134.24.202/PLTV/88888888/224/3221225879/index.m3u8
中央新影-发现之旅,http://223.110.241.150:6610/gitv/live1/G_FAXIANZL/G_FAXIANZL/
中央新影-发现之旅,http://183.207.248.71/gitv/live1/G_FAXIANZL/G_FAXIANZL


卫视频道,#genre#
安徽卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226499/1.m3u8$北京移动
安徽卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226223/1.m3u8$北京移动
北京卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226367/1.m3u8$北京移动
北京卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226441/1.m3u8$北京移动
北京卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226224/1.m3u8$北京移动
东方卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226364/1.m3u8$北京移动
东方卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226505/1.m3u8$北京移动
东方卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226237/1.m3u8$北京移动
东南卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226496/1.m3u8$北京移动
东南卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226406/1.m3u8$北京移动
广东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226508/1.m3u8$北京移动
广东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225878/1.m3u8$北京移动
广东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226238/1.m3u8$北京移动
贵州卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226497/1.m3u8$北京移动
河北卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226507/1.m3u8$北京移动
黑龙江卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226498/1.m3u8$北京移动
黑龙江卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226239/1.m3u8$北京移动
湖北卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226310/1.m3u8$北京移动
湖北卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226503/1.m3u8$北京移动
湖北卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226240/1.m3u8$北京移动
湖南卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226509/1.m3u8$北京移动
湖南卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226241/1.m3u8$北京移动
江苏卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226366/1.m3u8$北京移动
江苏卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226506/1.m3u8$北京移动
江苏卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226242/1.m3u8$北京移动
江西卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226243/1.m3u8$北京移动
辽宁卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226500/1.m3u8$北京移动
山东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226308/1.m3u8$北京移动
山东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226501/1.m3u8$北京移动
山东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225894/1.m3u8$北京移动
山东卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226244/1.m3u8$北京移动
深圳卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226495/1.m3u8$北京移动
深圳卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225897/1.m3u8$北京移动
深圳卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226245/1.m3u8$北京移动
天津卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226502/1.m3u8$北京移动
天津卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226246/1.m3u8$北京移动
浙江卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226365/1.m3u8$北京移动
浙江卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226504/1.m3u8$北京移动
浙江卫视HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226247/1.m3u8$北京移动
海峡卫视HD,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil$福州移动



凤凰中文HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/1.m3u8$北京移动
凤凰中文HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/1.m3u8$北京移动
凤凰资讯HD,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228016/index.m3u8$江苏移动
凤凰资讯HD,http://39.134.182.236/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8$浙江湖州移动
凤凰资讯HD,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8$福建移动
凤凰资讯HD,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225949/1.m3u8$北京移动
凤凰资讯HD,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8$江苏南京移动
凤凰香港HD,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8$江苏南京移动
凤凰香港HD,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8$江苏南京移动
凤凰中文HD,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8$福建移动
凤凰资讯HD,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8$福建移动

港台频道,#genre#
珠江台,P2p://147.135.39.171:9906/5e9b4498000b3c01b418f29340100956.ts
中天综合,P2p://147.135.39.171:9906/5e7cf98b000f2c2a3dc37fc6663e2451.ts
中天娱乐,P2p://147.135.39.171:9906/5defdaa0000974136ea066475c980b2d.ts
中天亚洲台,P2p://147.135.39.171:9906/5defdaa000044ff26ea064ef7ec56d18.ts
中天新闻(H.265),P2p://147.135.39.171:9906/5d9a3461000c5e329cd7e0cc2586313a.ts
中天新闻,P2p://147.135.39.171:9906/5eec7db90008195bf160a77f5d316f05.ts
中视HD,P2p://147.135.39.171:9906/5e7cf2610003655a3da780b8383c7868.ts
壹电视综合,P2p://147.135.39.171:9906/5ee385f50006a708ce58bfde6dca70d4.ts
壹电视新闻,P2p://147.135.39.171:9906/5ede0911000cbd09b8e8e6d42be1693c.ts
星卫HD电影台,P2p://147.135.39.171:9906/5e9b4b1300069e38b43241e231037404.ts
新视觉HD,P2p://147.135.39.171:9906/5e9b4b120003d450b4323d3f070d7242.ts
小太阳,P2p://147.135.39.171:9906/5c311b380000b12f06c9ab7174b605e2.ts
香港开电视,P2p://147.135.39.171:9906/5e9fd74f000449a9c5f60ba621430299.ts
无线新闻台(备),P2p://147.135.39.171:9906/5f15d52c0005c5bc148feaae38e830e8.ts
无线新闻台,P2p://147.135.39.171:9906/5f1670d00000374416efe1e74e7f2821.ts
无线财经资讯台,P2p://147.135.39.171:9906/5e975a520003b3a4a4cdbd1e7a4a258e.ts
卫视中文台,P2p://147.135.39.171:9906/5defdaa1000b1a3d6ea06a9c17f77c44.ts
卫视西片,P2p://147.135.39.171:9906/5e7cf2710006c39d3da7c01341645170.ts
卫视卡式台,P2p://147.135.39.171:9906/5ec62ecd0005c21e5bbc173f4d127405.ts
卫视电影台(印尼),P2p://147.135.39.171:9906/5ec628ed000d69cb5ba526333d1a1d98.ts
卫视电影台,P2p://147.135.39.171:9906/5d9a250b000845289c9bf7d246ac3362.ts
纬来综合,P2p://147.135.39.171:9906/5e9e6e69000b4094c0744b0b13c15289.ts
纬来育乐,P2p://147.135.39.171:9906/5e9e72fe00062f43c0862fbb1fb33e3f.ts
纬来戏剧,P2p://147.135.39.171:9906/5dfb22fe0007e7e5170148dc58a73c8f.ts
纬来体育,P2p://147.135.39.171:9906/5e9b4499000c2343b418f6ba6f8227e4.ts
纬来日本,P2p://147.135.39.171:9906/5e9b449a0002edbbb418f850343a565d.ts
纬来电影,P2p://147.135.39.171:9906/5e9b449a00082550b418f99837b132a5.ts
天映频道,P2p://147.135.39.171:9906/5e7cfab00001b8d03dc7f4e34dfd4368.ts
天映经典,P2p://147.135.39.171:9906/5e7cf98f00024e183dc38c1a5eb34315.ts
探索频道,P2p://147.135.39.171:9906/5ea13fde000ec14fcb767cee2fe05289.ts
台视HD,P2p://147.135.39.171:9906/5e59fad5000832893b0c1fb83c050635.ts
双星HD,P2p://147.135.39.171:9906/5c4fcc4900021daf7eee5cd26e523e7e.ts
時代劇専門チャンネル,P2p://147.135.39.171:9906/5f0a0fec00040f6464e402b53d536b3e.ts
三立综合台,P2p://147.135.39.171:9906/5ea13fe00008dee7cb76834775f82877.ts
三立新闻,P2p://147.135.39.171:9906/5f36d322000a530495702db9262725dd.ts
三立台湾台,P2p://147.135.39.171:9906/5f36d32200078f4a95702d0e489877f6.ts
三立都会台,P2p://147.135.39.171:9906/5f36d32200090b2f95702d6b2a21517c.ts
三立财经台,P2p://147.135.39.171:9906/5ea13bb00007ef12cb662788049d46cf.ts
